author,content
"
酒无杯。
","


今天我朋友结婚，带我儿子一起去，各种菜品层出不穷，儿子吃的津津有味。"
"
毒男·i
","


今天跟着女朋友，去她家见丈母娘去谈结婚事宜。我们坐在沙发上边看电视边谈论。"
"
晴～风
","


相亲（极品女神 VS精英男）"
"
贝格格*
","


去参加表弟婚礼，看到表姐的一对双胞胎女儿，问她们“你俩谁是姐姐，？”"
"
风趣语儿
","


同事特别喜欢怼人，我穿长裤，给我来一句，这么热天气你还穿长裤，我穿吊带裙，给我来一句，穿得这么暴露啊，我开了空调，给我来一句，这么凉快你们部门还吹空调，我不开空调给，我来一句，你怕真的是老年人了，这么热还冷吗，居然不吹空调........[撞到玻璃][撞到玻璃][撞到玻璃][撞到玻璃]

"
"
小奇鸽
","


我一哥们，工作不久就从一小职员被提升到总经理助理，前两天他割痔疮住院，我去看他，交谈中得知他们经理给他放了三个月的带薪病假，而且医药费报销，我们不由感叹他们公司福利好，哥们却羞涩的的低下头说了两个字“工伤”！

"
"
<落落清欢&…
","


邻居阿姨做计生工作，她们单位可以免费领取by套，但是真正去领取的人不多，她的任务完不成。今天她拎了两大包，大概有二十多盒给我，说让我没事使劲用😂😂

"
"
吃了两碗又盛
","


儿子的数学书上有介绍衡量生活水平的恩格尔系数的计算方法，他问我一个月消费多少钱，其中购买食品消费多少。"
"
阿洋思密达！
","


上次坐高铁出差，忽然前面就吵了起来，然后一个小姑娘就喊道:你站着别人座有理啦，你什么态度 ，指，你在指我一下试试，然后就打了起来，旁边一个大哥赶紧拉住对方的40岁中年男子，一个大姐也紧紧护住小姑娘，小姑娘说:大姐你别怕，我能打过他，我散打教练，然后劝架的大哥大姐不约而同的松开了劝架的手

"
"
取死之道千变万化
","


老板说我，小张你怎么能在猪舍墙上撒尿呢，下次再让我看见扣你工资。我一脸谄媚的笑着，告诉他没有下次。突然他又说，如果你下次撒完尿，能再墙上用尿写出“小张到此一游”这几个字，那我啥话也不说，还给你涨工资！

"
"
狸土豆大人
","


抱怨男友睡觉打呼噜，可他死活不认罪，无奈之下，晚上睡觉时我打开手机录音，想要捕捉证据，用事实说话。"
"
爱新觉罗.黄瓜
","


我刚要吻上初恋那诱 人的红 唇，就感觉脸上一疼。"
"
雷霆万钧～
","


早上送女儿上学，我逗她，让她夸我最帅，女儿白了我一眼，不说话，我威胁她：你不夸我帅中午我不给你回家吃饭！"
"
无字碑9
","


半年前，为了鞭策自己减肥，"
"
繁華落幕♀
","


说个十几年前的事，隔各格葛割！！！！！以前夫妻俩吵架吵的厉害了，有很多走极端的，在农村就比如喝农药，跳井的都有。话说有夫妻俩就是因为吵架生气比较严重，丈夫刚买的一瓶农药被妻子一口气喝了，把家人吓得赶紧送医院。又是洗胃，又是化验什么的。最后结果出来了，医生说：回去吧，啥事没有，就是酱油喝多了。原来是丈夫买到假农药了。回去之后丈夫就做了个锦旗给卖农药的送去了………

"
"
鱼歌浅唱
","


新婚的女同事每天午休都会接到新郎的腻歪电话，已婚夫男妇女们忍不住纷纷打趣……"
"
歌歌哒f
","


记得小时候爷爷还健在，没有卧病在床，能到处走动……"
"
我打豆豆你是豆豆
","


我：“媳妇儿，你给我网购的羽绒服同事们都说款式老，不值七百，顶多值五百。你是不是上当了？”媳妇儿：“我只说两件花了一千四，又没说一件七百。我的花了一千二是今年的新款，你的花了二百是前年的新款，他们说值五百，说明我眼光还是不错的。。。。。。”[发呆][发呆]

"
"
吃了两碗又盛
","


媳妇一直想要二胎，昨晚又提起这件事，我比较犹豫，可我每说出十个困难，媳妇就有十一种解决方案。最后我觉得应该让家里其他人帮着参谋参谋，就对媳妇说:你还是跟别人研究研究吧！"
"
空间夏川
","


按照习俗结婚前我和老婆是不能相见，时间长了难勉有了想法，偷偷约老婆逛街，意外碰见爸妈，看到老婆羞羞躲在我身后，我妈迅速递给我一张传单，上面写着某酒店开业，凡办卡一律四折。我……

"
"
=_=老猛=_=
","


几年前在某公司上班，有一小帅哥英俊潇洒、高大威猛。唯一缺点就是天生器小，这是前提。因为是某副总的亲侄子，所以屌的不得了。有一天晚上，我在卫生间洗澡，他在外面不停催（公司提供的太阳能热水器，只能一人洗）。为了强烈打击他的嚣张气焰，在给他开门前，将自己的小弟弟搓得又长又粗。给他开门的一刹那，明显感觉得该帅哥的胆寒。

"
"
无书斋主
","


昨天带儿子去看爸妈，爷爷疼长孙，爸妈对儿子各种好，好得我都嫉妒了……"
"
聊天不撩妹子
","


老婆生日，帮她买根金项链，然后发微信告诉她让她开心一下。"
"
半截烟云
","


约室友一起逛街，等了半小时还没出来，推开房门一看，她倒在床上无力的看着我:"
"
您就是隔壁老王吧
","


发个热乎的，就刚刚，看完西红柿首富回家，刚开出来车位（停的路边的辅路车位）就看见前边小车在倒车～～～～我～是～淫～荡～的～分～割～线～～～～我就按了下喇叭提醒他一下后边有车，不按还好，一按还加速了，哎呀我滴妈，给我吓的，哐哐按喇叭，前边就一条路还被堵了，只能后退了，一激动还熄火了，绝。望 。   。    。"
